1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319803.813000 /muse/eeg ffff  801.105407715 815.91027832 820.845214844 827.425109863
1521319803.813000 /muse/eeg ffff  820.845214844 819.200195312 832.360046387 832.360046387
1521319803.813000 /muse/eeg ffff  791.235534668 820.845214844 830.715087891 824.135131836
1521319803.813000 /muse/eeg ffff  830.715087891 827.425109863 832.360046387 825.780151367
1521319803.813000 /muse/eeg ffff  791.235534668 832.360046387 832.360046387 830.715087891
1521319803.813000 /muse/eeg ffff  827.425109863 830.715087891 835.650024414 827.425109863
1521319803.813000 /muse/eeg ffff  774.785766602 822.49017334 832.360046387 820.845214844
1521319803.813000 /muse/elements/alpha_relative ffff  0.14956611 0.055704266 0.088443436 0.17084424
1521319803.813000 /muse/elements/beta_relative ffff  0.10466951 0.032157667 0.01983938 0.12879007
1521319803.813000 /muse/elements/delta_relative ffff  0.60574555 0.73659194 0.69461614 0.39342856
1521319803.813000 /muse/elements/gamma_relative ffff  0.09035036 0.022087647 0.011890436 0.048042487
1521319803.814000 /muse/elements/theta_relative ffff  0.049668446 0.15345848 0.18521063 0.25889465
1521319803.814000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319803.814000 /muse/elements/is_good iiii  0 1 1 1
1521319803.814000 /muse/elements/blink i  0
1521319803.814000 /muse/elements/jaw_clench i  0
1521319803.814000 /muse/elements/touching_forehead i  1
1521319803.814000 /muse/elements/experimental/concentration f  0.50486344
1521319803.814000 /muse/elements/experimental/mellow f  0.0
1521319803.815000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  15.156657 18.264736 16.107529 16.343512 14.78872 12.234571 7.856435 7.2947774 7.6668777 4.130374 0.22190608 6.716497 7.463384 3.2038107 3.336966 4.9383216 7.296305 1.7667614 -3.7573957 -4.0207505 -2.261881 2.5496595 0.37188175 2.6600792 3.9414134 -1.9693931 -5.482833 0.9251363 0.3676958 -8.676753 -1.8631575 2.9385436 -1.36207 -8.75239 1.1914965 3.9390357 -4.4301558 -8.473084 -2.7276158 -2.6562397 -3.161968 3.3119802 -0.42176142 -6.8682704 -0.16491665 1.8060086 -0.8086103 -0.9630942 0.25266668 -1.6557082 1.5164994 -1.448129 -5.490734 0.37255564 6.2106557 1.5970237 0.42054352 1.5761381 1.924633 -3.6898632 -5.9048343 -7.5428133 -2.233597 -5.6988077 -5.337995 -4.501924 -3.0359898 -9.605807 -17.181194 -16.560574 -15.8322315 -16.797579 -10.211812 -6.5787935 -4.930919 -9.510298 -6.1795444 -7.5219874 -9.48157 -3.5373092 -4.1803765 -4.8154964 -1.9381319 -4.9708676 -7.0833573 -3.0438588 -3.0286348 -5.892533 -5.571757 -2.2237527 -9.750169 -4.9700727 -0.051158085 1.713814 -1.79896 -4.2552953 -5.108086 -6.4534364 -6.298707 -3.1182961 -4.196084 -2.259222 -2.3584483 -4.7179523 -2.8793755 -3.1874182 -5.1558323 -2.6711266 0.04773154 -1.6332978 -1.5364813 -7.7909737 -5.480544 -9.503798 -6.5136085 0.61470497 13.738779 11.72563 -5.315792 -10.181013 -9.899 -7.5514145 -13.08974 -7.701902 -8.880292 -11.619127 -15.312831 -15.114552 -20.205809
1521319803.815000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  8.58929 15.233481 13.4182 11.008786 9.049516 6.3999014 4.071325 2.4454024 1.8663977 1.3999299 -5.3593764 -3.0083928 -4.412347 -10.120087 -10.364738 -5.146323 -3.8082983 -8.205676 -12.981811 -15.174548 -11.840512 -10.65007 -12.362044 -7.453997 -7.5271673 -9.576476 -11.9493265 -13.521641 -13.871255 -7.7608585 -10.4386215 -7.8012295 -7.249199 -9.682775 -7.4273114 -7.4897375 -9.312399 -12.794466 -10.758825 -8.138508 -13.411584 -5.7495875 -6.752951 -10.734503 -11.319549 -9.641127 -12.432607 -12.83708 -14.741618 -14.795374 -11.83946 -16.835964 -17.937666 -7.107632 -3.4451184 -7.0351057 -9.380116 -9.827072 -8.783052 -14.17215 -18.374756 -12.908475 -8.248666 -12.773142 -16.667389 -15.0378685 -12.690161 -17.285416 -26.67829 -26.423517 -29.848906 -32.486748 -22.407488 -17.642584 -15.696784 -13.5485735 -19.546722 -23.298965 -15.936919 -13.363877 -10.815243 -14.339279 -14.324849 -17.037766 -17.811396 -13.582338 -11.990751 -16.580814 -14.332743 -11.338538 -16.554735 -13.000651 -9.497191 -10.380371 -14.753875 -17.754873 -13.97533 -12.318167 -12.756271 -12.227938 -12.704171 -14.630171 -14.994297 -19.726507 -16.92486 -17.05673 -15.136915 -14.4394455 -13.915642 -13.141425 -10.700379 -15.46287 -17.150019 -13.624 -12.998456 -19.5877 -14.496723 -16.403826 -22.170036 -22.800512 -20.682148 -17.44012 -21.06257 -19.080948 -20.056196 -26.975195 -23.966593 -22.827204 -24.54683
1521319803.815000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  5.8388114 12.743127 8.121672 6.5718284 4.0065336 2.7372549 0.050824087 -1.5492263 -2.2615213 -5.7393956 -5.2715273 -6.524009 -17.679173 -15.489831 -9.393301 -9.482763 -14.710111 -15.682094 -11.875232 -12.8699045 -14.626111 -12.65055 -12.782432 -15.647321 -9.899055 -13.786731 -11.758044 -17.3937 -12.601435 -14.052643 -13.293712 -13.738396 -16.48556 -24.448238 -13.353463 -11.563592 -17.088045 -14.554003 -15.4093 -15.381277 -18.826166 -17.496614 -13.265513 -12.637859 -13.035168 -13.509954 -21.183027 -17.818378 -15.493512 -11.769422 -13.152961 -19.518814 -20.688507 -14.205542 -14.5003605 -17.971346 -17.056759 -15.225233 -15.893819 -19.75032 -16.053589 -11.636835 -10.406754 -13.048803 -19.920609 -18.742046 -15.550022 -18.96967 -23.319647 -29.089706 -29.479315 -30.477558 -22.593903 -21.208971 -18.708622 -18.163832 -20.405468 -19.784292 -23.560316 -19.077747 -17.904804 -16.02473 -15.810829 -17.638529 -10.602994 -12.994586 -13.548691 -12.88396 -15.80311 -16.812717 -15.471842 -16.328773 -15.147619 -19.542713 -19.388535 -19.525503 -14.186233 -17.417631 -22.466452 -18.103466 -14.242342 -21.894285 -20.861776 -18.590923 -19.400343 -20.753197 -20.759514 -17.27518 -17.33688 -15.296349 -14.253794 -20.611626 -22.519936 -18.365797 -16.245237 -21.790756 -16.768156 -17.122158 -21.906174 -19.169632 -22.004482 -21.050152 -25.766953 -28.043978 -24.269545 -23.98948 -26.69932 -29.528599 -31.720291
1521319803.815000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  13.545569 16.329601 11.388893 8.999724 11.580625 8.869309 2.5468843 6.7086577 4.490758 3.6819625 -1.9924191 0.05503226 0.4231175 0.5120778 2.118522 1.9702642 1.179745 -2.676349 -1.6482008 -6.345976 -7.4046807 -8.615807 -7.8916945 -7.6487513 -7.240068 -7.2639465 -7.095929 -5.1240525 -7.896082 -7.808742 -8.204053 -8.024775 -9.612819 -9.517149 -8.754144 -6.827418 -6.226621 -8.756092 -15.602379 -14.877035 -9.496527 -8.03568 -8.353326 -8.644919 -9.675156 -5.6874995 -5.2656255 -13.442891 -7.842581 -9.825824 -13.232222 -12.932831 -15.274431 -11.786664 -16.17741 -16.916098 -19.668232 -12.039306 -10.872588 -14.538922 -13.470941 -10.691956 -9.503642 -14.163611 -22.940279 -20.566586 -18.771477 -22.318104 -19.642693 -23.197052 -24.070095 -23.396685 -21.279882 -20.467821 -12.476495 -8.353626 -8.280786 -16.570711 -15.692345 -14.786463 -13.556447 -16.645824 -11.597429 -13.832665 -15.941023 -11.843266 -8.414815 -11.655422 -13.796107 -11.980621 -7.997182 -9.048219 -9.547912 -7.787893 -11.389094 -13.31809 -12.590823 -14.263251 -15.048917 -10.989721 -11.236754 -14.462245 -11.845066 -12.545676 -14.563818 -14.0645895 -13.0006 -14.283399 -14.236034 -17.06421 -19.605446 -16.512707 -16.091888 -18.426155 -17.1401 -15.522283 -3.357538 -5.1053333 -12.693492 -13.242816 -12.283004 -15.502133 -19.157251 -20.36578 -20.978004 -22.087029 -19.191456 -21.6981 -26.341558
1521319803.816000 /muse/elements/low_freqs_absolute ffff  2.0394375 1.8624936 1.6758885 1.4003438
1521319803.816000 /muse/elements/alpha_absolute ffff  1.3977549 0.65896744 0.67815703 0.81848127
1521319803.816000 /muse/elements/beta_absolute ffff  1.242742 0.4203635 0.029019518 0.6957633
1521319803.816000 /muse/elements/delta_absolute ffff  2.005212 1.780306 1.5732362 1.1807468
1521319803.816000 /muse/elements/gamma_absolute ffff  1.1788516 0.25722843 -0.19331084 0.26750642
1521319803.816000 /muse/elements/theta_absolute ffff  0.9190023 1.0990698 0.9991573 0.999004
1521319803.816000 /muse/elements/alpha_session_score ffff  0.68 0.9512195 1.0 0.11320755
1521319803.816000 /muse/elements/beta_session_score ffff  0.0 0.7037037 0.0 0.3
1521319803.816000 /muse/elements/delta_session_score ffff  1.0 0.95679015 0.888 0.20560747
1521319803.816000 /muse/elements/gamma_session_score ffff  0.3548387 0.6956522 0.0 0.06451613
1521319803.816000 /muse/elements/theta_session_score ffff  0.028571429 1.0 1.0 0.4489796
1521319803.816000 /muse/eeg ffff  830.715087891 835.650024414 834.005004883 827.425109863
1521319803.816000 /muse/eeg ffff  810.975280762 829.070068359 825.780151367 824.135131836
1521319803.816000 /muse/eeg ffff  784.655639648 827.425109863 827.425109863 820.845214844
1521319803.816000 /muse/eeg ffff  801.105407715 824.135131836 829.070068359 822.49017334
1521319803.816000 /muse/eeg ffff  791.235534668 825.780151367 825.780151367 817.555236816
1521319803.816000 /muse/eeg ffff  863.614685059 837.29498291 830.715087891 822.49017334
1521319803.816000 /muse/eeg ffff  797.815490723 819.200195312 832.360046387 819.200195312
1521319803.816000 /muse/eeg ffff  837.29498291 827.425109863 830.715087891 822.49017334
1521319803.825000 /muse/acc fff  -316.406738281 933.595214844 101.562660217
1521319803.843000 /muse/acc fff  -316.406738281 933.595214844 105.468917847
1521319803.859000 /muse/acc fff  -312.500488281 929.688964844 105.468917847
1521319803.879000 /muse/drlref ff  1629032.25 1645161.25
1521319803.879000 /muse/eeg ffff  779.720703125 824.135131836 832.360046387 819.200195312
1521319803.881000 /muse/eeg/quantization iiii  1 1 1 1
1521319803.881000 /muse/eeg ffff  825.780151367 830.715087891 832.360046387 819.200195312
1521319803.881000 /muse/eeg ffff  843.874938965 838.940002441 830.715087891 809.330322266
1521319803.881000 /muse/eeg ffff  848.809875488 829.070068359 830.715087891 819.200195312
1521319803.881000 /muse/eeg ffff  838.940002441 832.360046387 834.005004883 830.715087891
1521319803.881000 /muse/eeg ffff  817.555236816 824.135131836 827.425109863 822.49017334
1521319803.881000 /muse/eeg ffff  822.49017334 825.780151367 830.715087891 824.135131836
1521319803.882000 /muse/eeg ffff  835.650024414 838.940002441 842.229919434 825.780151367
1521319803.882000 /muse/eeg ffff  825.780151367 832.360046387 835.650024414 825.780151367
1521319803.882000 /muse/eeg ffff  829.070068359 843.874938965 837.29498291 830.715087891
1521319803.882000 /muse/eeg ffff  845.519897461 840.584960938 840.584960938 842.229919434
1521319803.882000 /muse/eeg ffff  781.365661621 827.425109863 824.135131836 830.715087891
1521319803.882000 /muse/eeg ffff  834.005004883 829.070068359 834.005004883 835.650024414
1521319803.882000 /muse/eeg ffff  819.200195312 832.360046387 835.650024414 827.425109863
1521319803.882000 /muse/elements/alpha_relative ffff  0.14956611 0.049476467 0.08986744 0.16046445
1521319803.882000 /muse/elements/beta_relative ffff  0.10466951 0.028864173 0.019527894 0.11925887
1521319803.882000 /muse/elements/delta_relative ffff  0.60574555 0.73854166 0.69536483 0.4503453
1521319803.882000 /muse/elements/gamma_relative ffff  0.09035036 0.019424947 0.011807406 0.048624232
1521319803.882000 /muse/elements/theta_relative ffff  0.049668446 0.16369274 0.18343243 0.22130714
1521319803.882000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319803.882000 /muse/elements/is_good iiii  0 1 1 1
1521319803.882000 /muse/elements/blink i  0
1521319803.882000 /muse/elements/jaw_clench i  0
1521319803.882000 /muse/elements/touching_forehead i  1
1521319803.882000 /muse/elements/experimental/concentration f  0.49247313
1521319803.882000 /muse/elements/experimental/mellow f  0.0
1521319803.883000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  13.490338 17.167423 15.114106 15.675175 15.067813 12.114124 7.8205414 5.5949006 7.0128307 3.9021459 -0.5470941 6.138432 6.1832595 2.4945383 3.6896024 4.7581396 7.0267663 2.1513681 -4.058015 -3.913637 -3.3087003 1.2946614 0.15932284 2.1977057 3.389758 -2.0400817 -5.52794 0.55692947 -0.038012087 -8.977364 -1.0062091 3.8606932 -0.7068957 -9.844701 0.8050529 3.9946659 -4.5349946 -9.251499 -5.1253457 -4.196415 -2.967333 3.796727 0.041354924 -6.4596224 0.015649974 1.9543805 -0.51778585 -0.26714566 1.0138736 -1.6167772 1.326363 -1.9166069 -5.5317316 0.72824836 6.7126713 1.9822514 0.25753978 1.4883476 1.8832879 -3.6774468 -5.9731474 -8.485826 -2.1293473 -5.4586563 -5.6237135 -4.626065 -3.222175 -9.474841 -16.39281 -16.472788 -15.928903 -16.257822 -9.8283 -6.762587 -5.512054 -9.829883 -6.125958 -6.5447907 -7.793495 -3.3789237 -4.200024 -4.2840447 -1.7245135 -4.85189 -7.7212267 -3.1079543 -3.1494205 -5.8509116 -5.901267 -2.3364568 -9.424168 -5.1534877 0.24770263 2.229413 -1.8340319 -3.6638744 -4.7983556 -5.722085 -5.7181945 -2.6763654 -2.7607234 -1.8329456 -2.6248393 -5.954831 -3.6573415 -3.315741 -5.347002 -2.492164 0.44613576 -2.211313 -2.3136933 -8.212655 -6.0818048 -10.060796 -6.214158 0.42386812 13.711835 11.547833 -7.3679543 -10.741409 -10.364023 -8.088216 -13.129485 -8.029733 -9.057564 -11.460638 -17.909182 -17.488811 -21.972805
1521319803.883000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  9.533145 15.312245 14.373591 12.368099 10.542405 8.029758 5.7306595 3.9862092 3.1298213 2.276431 -3.8908105 -3.0862436 -5.2328944 -10.6479645 -10.218882 -6.02522 -4.2714067 -8.150156 -14.5449095 -15.199994 -11.831584 -10.152074 -13.001016 -7.6985416 -7.8559275 -8.685505 -10.569286 -14.4761715 -12.958892 -6.7964864 -9.900685 -6.4709706 -6.002286 -10.679909 -9.4919815 -7.3966537 -9.233935 -12.72616 -10.938421 -9.23173 -13.702964 -5.493087 -6.7198815 -10.726776 -11.657857 -9.475868 -10.348153 -10.604173 -12.992934 -13.920742 -12.136116 -18.423811 -18.9852 -7.2369976 -2.8687944 -6.1648335 -9.198026 -9.686068 -8.728565 -14.224552 -18.027504 -13.589918 -8.097074 -12.640785 -16.502678 -15.162567 -12.939856 -17.673607 -26.515549 -26.606089 -29.818373 -31.816652 -22.376995 -17.807356 -15.533006 -13.962304 -19.874798 -24.235746 -16.117695 -13.722613 -12.023985 -13.911867 -13.836001 -16.053303 -18.56039 -13.993906 -11.555955 -16.736181 -15.023638 -11.810591 -16.47926 -13.809305 -9.638522 -9.713053 -14.24769 -17.403519 -13.763519 -11.674753 -11.836292 -11.23777 -11.451512 -13.888912 -14.526004 -18.731352 -16.332548 -17.03706 -15.63171 -14.985978 -14.293202 -13.642719 -11.499574 -15.5788145 -18.63678 -13.800666 -12.760851 -19.645824 -14.921341 -17.093079 -23.23448 -24.841688 -21.516571 -17.908476 -21.498629 -19.033419 -20.462933 -27.114698 -24.906164 -23.187988 -24.28094
1521319803.883000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  5.919649 12.340116 8.148766 6.3220196 4.442392 3.0713065 1.4196266 -0.6347809 -1.9807976 -4.9455404 -5.849896 -6.6678295 -16.956945 -14.193813 -9.1192255 -10.347497 -13.918824 -14.249883 -11.282158 -13.163643 -14.682636 -12.708831 -11.977331 -14.966573 -10.009688 -13.564147 -11.796041 -17.014202 -11.714971 -12.634458 -13.228804 -12.965386 -16.981304 -22.724495 -12.805514 -11.51265 -16.616758 -14.873271 -15.413766 -15.498154 -18.374866 -18.319384 -13.428993 -13.264899 -13.362848 -13.5340805 -20.869 -16.469347 -14.757269 -11.600512 -11.662129 -16.612295 -17.861547 -13.692763 -14.504183 -17.41718 -17.968319 -15.764986 -16.404408 -19.242756 -16.116789 -12.124782 -9.661568 -13.232861 -19.633514 -17.68746 -15.705051 -19.197773 -22.560421 -28.956305 -29.156898 -28.584259 -22.008764 -21.040445 -17.938467 -18.310383 -20.336142 -19.948866 -22.991432 -18.083385 -18.365383 -16.105604 -15.793286 -18.10059 -10.778008 -13.157456 -13.531422 -13.546212 -16.202372 -17.293585 -15.079601 -15.0351 -14.6193285 -18.867088 -19.326006 -19.180706 -14.131766 -17.48272 -21.571127 -18.224226 -14.775156 -21.889387 -20.744724 -19.506683 -19.751581 -20.914627 -20.137539 -17.62477 -17.499235 -14.865417 -14.675009 -20.508467 -22.41747 -17.744537 -15.773835 -22.266033 -17.096943 -17.406528 -21.942108 -18.945913 -21.401623 -20.764523 -26.852613 -28.504644 -23.773262 -23.699474 -25.968363 -28.685402 -31.553495
1521319803.883000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  12.093302 14.649309 8.21012 6.6446867 9.560461 6.5628695 -3.0438008 4.477134 4.3015194 3.4049942 -1.7198781 -1.4434801 -1.7785916 0.21943016 1.9545308 1.3150367 0.3305828 -3.0464833 -2.0023139 -6.2653213 -6.673337 -7.601191 -8.577607 -7.9762692 -6.0313783 -6.0470405 -7.1229877 -6.4377017 -7.4452934 -6.534919 -8.40976 -7.1507673 -10.501117 -9.403178 -8.339779 -6.643283 -6.102706 -9.088675 -15.52858 -14.4899 -9.540299 -8.046805 -7.467478 -8.387544 -9.54516 -5.8237057 -5.5284433 -14.423947 -7.764358 -9.825195 -12.50372 -11.194683 -12.096369 -11.260384 -16.046968 -16.638494 -18.929304 -12.218825 -10.607519 -15.896795 -13.621511 -11.715723 -9.159741 -13.832991 -23.211754 -19.683014 -17.881935 -21.429646 -19.257725 -23.49597 -24.544056 -23.28948 -21.616865 -21.662918 -12.2073765 -8.316706 -8.521649 -17.401026 -15.215169 -15.070847 -14.316578 -15.720754 -11.946588 -14.016445 -16.114645 -12.896098 -8.525506 -11.73747 -13.003362 -11.214615 -8.053147 -8.736919 -10.888754 -8.358973 -10.705386 -12.76113 -13.657215 -14.977917 -15.437216 -11.204535 -11.537476 -14.219131 -13.015197 -12.389435 -13.666815 -14.733912 -13.868212 -14.185492 -13.718819 -16.658178 -17.85385 -15.407548 -15.102059 -17.629019 -16.811523 -15.584606 -3.4424362 -5.1344337 -12.684687 -13.576799 -12.9542055 -15.5458555 -19.719559 -20.484903 -20.930962 -21.913486 -19.112984 -22.089813 -25.678793
1521319803.883000 /muse/elements/low_freqs_absolute ffff  2.0394375 1.9198881 1.6663078 1.445034
1521319803.884000 /muse/elements/alpha_absolute ffff  1.3977549 0.65896744 0.6760215 0.8232683
1521319803.884000 /muse/elements/beta_absolute ffff  1.242742 0.42492786 0.013074515 0.69438016
1521319803.884000 /muse/elements/delta_absolute ffff  2.005212 1.8329438 1.5646318 1.2714351
1521319803.884000 /muse/elements/gamma_absolute ffff  1.1788516 0.25292856 -0.20542637 0.30474222
1521319803.884000 /muse/elements/theta_absolute ffff  0.9190023 1.1785982 0.9858952 0.9628849
1521319803.884000 /muse/elements/alpha_session_score ffff  0.68 0.975 0.9846154 0.11320755
1521319803.884000 /muse/elements/beta_session_score ffff  0.0 0.7037037 0.0 0.3
1521319803.884000 /muse/elements/delta_session_score ffff  1.0 0.9876543 0.87903225 0.2897196
1521319803.884000 /muse/elements/gamma_session_score ffff  0.3548387 0.6956522 0.0 0.16129032
1521319803.884000 /muse/elements/theta_session_score ffff  0.028571429 1.0 1.0 0.36734694
1521319803.884000 /muse/eeg ffff  830.715087891 829.070068359 834.005004883 829.070068359
1521319803.884000 /muse/eeg ffff  820.845214844 837.29498291 840.584960938 834.005004883
1521319803.938000 /muse/acc fff  -312.500488281 937.501464844 105.468917847
1521319803.939000 /muse/acc fff  -316.406738281 937.501464844 105.468917847
1521319803.940000 /muse/acc fff  -312.500488281 937.501464844 105.468917847
1521319803.948000 /muse/acc fff  -312.500488281 933.595214844 105.468917847
1521319803.963000 /muse/eeg ffff  832.360046387 838.940002441 838.940002441 835.650024414
1521319803.963000 /muse/eeg/quantization iiii  1 1 1 1
1521319803.963000 /muse/eeg ffff  840.584960938 830.715087891 832.360046387 835.650024414
1521319803.964000 /muse/eeg ffff  819.200195312 829.070068359 837.29498291 838.940002441
1521319803.964000 /muse/eeg ffff  845.519897461 834.005004883 837.29498291 837.29498291
1521319803.964000 /muse/eeg ffff  789.590576172 834.005004883 838.940002441 829.070068359
1521319803.964000 /muse/eeg ffff  837.29498291 837.29498291 835.650024414 825.780151367
1521319803.964000 /muse/eeg ffff  810.975280762 835.650024414 830.715087891 812.620300293
1521319803.964000 /muse/eeg ffff  822.49017334 825.780151367 834.005004883 810.975280762
1521319803.964000 /muse/eeg ffff  776.430725098 825.780151367 838.940002441 809.330322266
1521319803.964000 /muse/eeg ffff  794.525512695 829.070068359 837.29498291 802.750427246
1521319803.964000 /muse/eeg ffff  812.620300293 835.650024414 827.425109863 796.170471191
1521319803.964000 /muse/eeg ffff  824.135131836 838.940002441 829.070068359 797.815490723
1521319803.964000 /muse/eeg ffff  812.620300293 834.005004883 829.070068359 792.880554199
1521319803.964000 /muse/eeg ffff  802.750427246 838.940002441 837.29498291 804.395385742
1521319803.964000 /muse/eeg ffff  838.940002441 840.584960938 843.874938965 804.395385742
1521319803.964000 /muse/eeg ffff  784.655639648 832.360046387 830.715087891 801.105407715
1521319803.964000 /muse/eeg ffff  822.49017334 834.005004883 829.070068359 806.040344238
1521319803.964000 /muse/acc fff  -312.500488281 933.595214844 105.468917847
1521319803.974000 /muse/drlref ff  1629032.25 1648387.125
1521319803.975000 /muse/acc fff  -312.500488281 933.595214844 101.562660217
1521319804.008000 /muse/acc fff  -316.406738281 933.595214844 101.562660217
1521319804.028000 /muse/acc fff  -312.500488281 933.595214844 105.468917847
1521319804.028000 /muse/eeg ffff  797.815490723 832.360046387 837.29498291 802.750427246
1521319804.028000 /muse/eeg/quantization iiii  1 1 1 1
1521319804.028000 /muse/eeg ffff  852.09979248 840.584960938 832.360046387 810.975280762
1521319804.028000 /muse/eeg ffff  812.620300293 840.584960938 832.360046387 801.105407715
1521319804.029000 /muse/elements/alpha_relative ffff  0.14956611 0.046027128 0.09470283 0.15340094
1521319804.029000 /muse/elements/beta_relative ffff  0.10466951 0.02776584 0.021525074 0.11325078
1521319804.029000 /muse/elements/delta_relative ffff  0.60574555 0.7358246 0.6898061 0.4849313
1521319804.029000 /muse/elements/gamma_relative ffff  0.09035036 0.018092949 0.013189683 0.05082588
1521319804.029000 /muse/elements/theta_relative ffff  0.049668446 0.17228952 0.18077628 0.19759111
1521319804.029000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319804.029000 /muse/elements/is_good iiii  0 1 1 1
1521319804.029000 /muse/elements/blink i  0
1521319804.029000 /muse/elements/jaw_clench i  0
1521319804.029000 /muse/elements/touching_forehead i  1
1521319804.029000 /muse/elements/experimental/concentration f  0.48116022
1521319804.029000 /muse/elements/experimental/mellow f  0.0
1521319804.030000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  11.405353 16.59757 15.531707 15.861149 15.671298 12.515543 8.250819 5.154832 6.6600895 3.9882936 -0.8919487 5.3447537 4.7760277 1.6817459 3.907565 4.4710784 6.6477475 2.2382092 -4.045842 -3.7994761 -4.4426537 0.0021371837 -0.14082706 1.5964574 2.572778 -2.2685 -4.3973985 0.6724012 0.19122188 -7.271254 -0.25090978 4.590033 0.41676405 -8.979758 0.62085754 3.9932168 -4.573243 -9.05768 -7.79713 -5.6337357 -2.8657675 4.146857 0.266511 -6.228653 0.12824048 2.0114505 -0.33337343 0.39250484 1.5988092 -1.7741643 1.1550455 -2.1665375 -5.6744475 0.95667773 7.1040177 2.1751635 -0.03647371 1.0506958 1.8063258 -3.5335338 -5.8479624 -8.884555 -2.0816934 -4.8832507 -5.95147 -5.217326 -3.5595558 -9.490658 -15.445891 -16.633257 -16.183279 -16.16155 -9.616471 -6.998678 -6.3223734 -10.545047 -6.2680726 -5.5775633 -6.428434 -3.4151204 -4.040022 -3.1244686 -1.2144763 -4.8585854 -7.98502 -2.9373775 -3.064663 -5.927777 -6.5562725 -2.42393 -8.8170395 -5.4608397 0.38106066 2.5477135 -1.5633727 -2.7738094 -4.0327115 -4.6282773 -5.4930186 -2.441385 -1.8224627 -1.6974306 -2.3334126 -7.1801257 -4.9403987 -3.571539 -5.53715 -1.630978 0.7047729 -3.106325 -3.2335565 -7.357531 -6.3078904 -10.406004 -5.9361053 0.39833996 13.685221 11.40243 -10.010095 -11.064162 -10.607422 -8.932051 -13.76917 -8.47927 -9.400549 -11.601299 -19.583076 -19.212343 -21.067682
1521319804.030000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.480727 15.5116415 15.236305 13.3462305 11.515182 9.129098 6.761685 5.030897 3.8858995 2.798593 -3.0509675 -3.2117615 -6.0481806 -11.497438 -10.453096 -7.1457467 -4.808036 -8.096085 -15.010489 -14.622691 -11.95871 -9.805378 -13.967983 -8.192044 -8.295579 -8.049319 -9.216055 -14.185449 -11.658163 -5.943687 -8.985555 -5.512595 -5.0572014 -11.231939 -11.778864 -7.4562244 -9.242224 -12.400981 -10.931819 -10.479799 -14.186215 -5.3137345 -6.68605 -10.679324 -11.691954 -9.433128 -8.886182 -8.9003315 -11.597737 -13.417447 -12.36944 -19.136753 -19.392326 -7.517049 -2.369398 -5.5802193 -9.192215 -9.844488 -8.738372 -14.263402 -16.44661 -13.716734 -8.183107 -12.522116 -16.569498 -15.575507 -13.441044 -18.10212 -26.354239 -26.845646 -29.903406 -31.278378 -22.547523 -18.051641 -15.502688 -14.3985405 -20.169529 -23.995842 -15.770001 -13.675444 -13.271398 -13.166158 -12.825672 -15.209269 -18.964941 -14.450598 -11.146434 -16.62382 -15.7720585 -12.377793 -16.582544 -14.928885 -9.841646 -9.147405 -13.387432 -16.454855 -13.46107 -10.874073 -11.285407 -10.631902 -10.493021 -13.617271 -13.396859 -16.953114 -15.864228 -16.783249 -15.8098545 -14.5453615 -14.6867075 -14.549288 -12.340128 -14.976177 -19.49945 -14.186849 -12.646798 -19.449568 -15.121118 -17.497763 -23.797562 -26.56965 -21.85897 -18.2954 -21.378159 -19.11914 -20.810652 -27.212984 -25.726553 -23.480827 -24.04555
