1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319789.993000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -3.9416342 1.1784878 5.9826255 10.586093 10.047555 4.3967466 4.5514894 6.2593913 8.988286 5.2446146 4.004398 4.717969 5.2119503 -1.2785951 0.5462435 3.0465534 2.5865588 -2.2020452 -1.0341039 4.708208 7.3410516 3.4812043 4.9102907 9.400868 7.606445 2.825509 1.2551975 -2.1881313 -2.2702136 -4.584105 -4.7567387 0.5686365 1.24682 2.1298735 -1.5115744 -0.0995284 -6.1135707 -1.1662309 2.8813636 1.3993216 2.054984 3.374726 -1.0981251 -3.0786047 -3.7210429 -4.774986 0.027175196 1.9203012 0.32654604 -2.96163 -2.768993 -2.1495957 -3.040242 -0.017118366 5.6890435 4.7991695 -3.674656 -5.9248 -1.7354679 -6.865894 -6.751404 -0.6872276 1.3377478 -6.343585 -8.18051 -6.931522 -4.014764 -11.617047 -11.088816 -15.162682 -11.670057 -15.052547 -19.125538 -9.884684 -7.64804 -10.920295 -8.296292 -7.008831 -7.137271 -6.6042447 -1.9179935 -0.18059218 -2.9158428 -10.485973 -6.186909 1.2094321 1.5776485 -2.0350995 -2.1861072 -1.7066126 -1.2765158 -5.5764647 -2.552027 -4.0044003 -8.95202 -6.5276017 -5.702239 -3.862263 -2.5692976 -5.401148 -6.192187 2.4736907 2.1886709 -3.5834622 -12.238944 -9.626539 -12.421982 -4.4892354 0.36923105 -4.4736505 -7.078145 -7.925279 -8.799822 -9.880245 -13.210656 0.42197904 14.215924 12.833781 -5.418273 -10.136332 -7.7562785 -12.215482 -15.394798 -8.099993 -4.79606 -8.993875 -8.616169 -11.184112 -17.230011
1521319789.993000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -9.065791 -2.1851556 -1.4158207 -2.876519 -3.0227382 -3.754328 -7.164472 -10.184765 -6.2234077 -8.444687 -7.2822843 -5.465445 -3.226357 -11.0493555 -12.226426 -8.68811 -8.381185 -8.800365 -9.053529 -9.087389 -9.095916 -10.335767 -5.522698 -3.498534 -7.4532423 -7.3584356 -9.399508 -15.308521 -8.396383 -8.223181 -10.981708 -10.17885 -8.065472 -7.232569 -8.555745 -6.596453 -10.971668 -8.956223 -7.075546 -8.750068 -7.721264 -7.6938896 -8.728115 -8.803903 -12.063089 -17.258823 -13.683625 -14.261175 -13.551834 -15.14905 -12.347681 -13.397158 -14.6751795 -9.89711 -3.4906638 -4.125926 -10.466682 -13.931262 -11.011121 -14.153368 -17.079214 -16.26408 -10.399835 -15.453753 -13.7455 -13.221236 -13.431445 -19.917593 -22.90681 -28.071444 -29.33348 -22.862078 -22.736734 -23.76931 -19.344658 -16.713623 -15.066284 -11.398842 -15.576376 -19.045858 -13.880918 -9.447647 -10.337259 -13.473289 -15.715949 -9.124022 -8.166217 -11.529914 -11.491584 -10.818071 -13.189887 -16.96698 -16.855085 -18.292784 -18.286491 -17.95409 -17.446728 -19.125555 -12.837335 -13.579459 -17.436039 -8.9986 -8.372224 -12.426231 -16.04197 -17.189453 -17.025751 -15.996529 -11.889409 -13.854358 -18.506912 -17.978647 -18.96832 -19.118748 -22.866339 -21.629755 -14.879734 -13.357079 -21.181364 -22.667137 -20.981194 -21.009682 -20.616465 -16.963934 -14.174132 -18.889498 -22.456839 -21.88209 -20.783241
1521319789.993000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -4.2833047 0.09992758 -0.564204 -4.7242627 -7.2844357 -7.969252 -5.951562 -6.6519966 -7.487723 -7.8927994 -8.1643915 -10.494791 -18.461508 -16.537643 -17.246008 -14.142355 -14.690477 -12.47614 -14.685304 -7.5850406 -6.13181 -6.2152586 -7.05194 -5.5590487 -8.222361 -14.306781 -10.893014 -10.709869 -10.690041 -6.393967 -7.2631836 -3.328562 -9.301798 -11.326486 -11.650757 -14.324012 -7.4204855 -9.185033 -15.42394 -19.460756 -11.186619 -7.529098 -5.5682526 -9.15389 -11.698191 -12.139778 -12.188776 -10.186469 -14.130966 -13.326353 -11.774816 -12.440561 -14.410343 -11.280289 -4.5897584 -5.6129675 -12.173154 -17.549757 -11.749436 -14.363031 -14.843326 -11.747531 -14.438824 -17.270763 -19.638205 -17.273499 -15.8251295 -20.290071 -21.965805 -25.435602 -28.179585 -22.917194 -21.602173 -19.075619 -14.629091 -12.989285 -15.000644 -15.059412 -10.117404 -7.953457 -10.007751 -15.124972 -16.663853 -16.063358 -16.930515 -22.49219 -25.681444 -16.103266 -12.688503 -15.328935 -14.898151 -11.45716 -12.938391 -16.715765 -17.381794 -16.265703 -13.946388 -13.795957 -13.343153 -13.080379 -16.56186 -17.131184 -15.107548 -18.981503 -23.221825 -15.25895 -11.343012 -15.551596 -19.400436 -12.594619 -16.165068 -25.157618 -23.711143 -23.736403 -19.874949 -20.08936 -18.460316 -15.669279 -19.93646 -21.059519 -21.993301 -26.150827 -29.018826 -23.33454 -25.82105 -27.093637 -26.51061 -23.474453 -24.352102
1521319789.994000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -8.770442 -1.0440105 2.8413622 3.7593307 8.21283 1.1468158 -1.6449057 1.1171705 3.7322137 0.09987727 3.8548088 0.78852946 -1.77939 -0.07883841 -3.8524377 -6.853944 -5.8519616 -7.6437325 -9.043863 -4.968681 -2.431727 -4.883567 -5.2485375 -4.5024624 -5.7633066 -9.652122 -9.189267 -8.863916 -6.263194 -4.694439 -5.5595417 -4.3776236 -6.33857 -12.484989 -10.817325 -11.246129 -14.969257 -15.733135 -9.911837 -8.685223 -9.191564 -9.678049 -8.830178 -11.256856 -9.607475 -9.1324 -9.079242 -12.825529 -10.86667 -8.418733 -6.2208247 -5.2196655 -7.5206313 -13.957515 -9.685944 -13.26068 -17.487923 -15.320124 -11.095637 -10.199252 -10.75225 -13.43564 -14.849884 -20.272474 -19.508125 -13.714997 -17.778498 -21.29757 -20.255362 -28.301895 -27.605818 -25.100163 -24.950563 -27.785475 -20.889246 -17.44389 -17.620264 -16.789505 -15.616206 -14.220925 -14.220314 -14.563409 -15.826142 -14.094044 -12.737731 -12.172715 -12.643317 -18.523668 -13.989482 -12.349718 -12.815924 -13.963097 -17.540953 -13.49417 -17.111927 -19.568974 -13.691409 -10.841772 -14.242347 -12.962489 -11.215554 -12.189169 -13.235736 -13.427422 -15.129562 -13.743055 -13.733075 -16.005829 -17.720984 -19.209782 -21.18311 -16.132143 -14.164988 -20.681532 -24.80696 -15.519815 -1.6592723 -3.2843256 -18.85167 -17.351273 -14.96917 -18.388508 -21.247232 -17.878881 -18.27625 -19.957745 -19.949734 -28.8487 -26.07991
1521319789.994000 /muse/elements/low_freqs_absolute ffff  1.4195757 0.38239223 0.62638384 1.2646499
1521319789.994000 /muse/elements/alpha_absolute ffff  1.3389394 0.37190923 0.06165394 1.013619
1521319789.994000 /muse/elements/beta_absolute ffff  1.3001652 0.44582257 0.4731714 0.7566693
1521319789.994000 /muse/elements/delta_absolute ffff  0.97969913 0.15835133 0.46426994 1.0254579
1521319789.994000 /muse/elements/gamma_absolute ffff  1.3167241 0.23170662 0.19951105 0.30740047
1521319789.994000 /muse/elements/theta_absolute ffff  1.2235916 -0.012280187 0.119881384 0.8914914
