1521324899.879000 /muse/eeg ffff  832.36005 837.295 845.5199 848.8099
1521324899.879000 /muse/eeg ffff  827.4251 837.295 847.16486 847.16486
1521324899.879000 /muse/eeg ffff  829.07007 838.94 848.8099 843.87494
1521324899.879000 /muse/eeg ffff  830.7151 840.58496 847.16486 838.94
1521324899.879000 /muse/eeg ffff  820.8452 837.295 847.16486 845.5199
1521324899.879000 /muse/eeg ffff  829.07007 835.65 845.5199 840.58496
1521324899.879000 /muse/drlref ff  1641935.5 1648387.1
1521324899.879000 /muse/acc fff  -167.96901 968.7515 121.09394
1521324899.879000 /muse/acc fff  -171.87527 968.7515 117.18768
1521324899.893000 /muse/acc fff  -171.87527 968.7515 117.18768
1521324899.928000 /muse/eeg ffff  830.7151 840.58496 843.87494 834.005
1521324899.928000 /muse/eeg/quantization iiii  1 1 1 1
1521324899.928000 /muse/eeg ffff  842.2299 838.94 838.94 827.4251
1521324899.928000 /muse/eeg ffff  824.13513 835.65 838.94 830.7151
1521324899.928000 /muse/eeg ffff  822.4902 837.295 838.94 835.65
1521324899.929000 /muse/eeg ffff  815.9103 840.58496 838.94 832.36005
1521324899.929000 /muse/eeg ffff  824.13513 842.2299 835.65 832.36005
1521324899.929000 /muse/eeg ffff  819.2002 842.2299 837.295 824.13513
1521324899.929000 /muse/eeg ffff  819.2002 838.94 837.295 827.4251
1521324899.929000 /muse/eeg ffff  817.55524 835.65 837.295 829.07007
1521324899.929000 /muse/eeg ffff  822.4902 843.87494 838.94 822.4902
1521324899.929000 /muse/eeg ffff  834.005 847.16486 830.7151 829.07007
1521324899.929000 /muse/eeg ffff  829.07007 845.5199 829.07007 835.65
1521324899.929000 /muse/eeg ffff  840.58496 847.16486 829.07007 838.94
1521324899.929000 /muse/eeg ffff  825.78015 845.5199 829.07007 835.65
1521324899.929000 /muse/elements/alpha_relative ffff  0.18421797 0.10718906 0.06662635 0.19915168
1521324899.929000 /muse/elements/beta_relative ffff  0.20970713 0.047622632 0.054644294 0.24034183
1521324899.929000 /muse/elements/delta_relative ffff  0.13805737 0.6219519 0.6567844 0.08164443
1521324899.929000 /muse/elements/gamma_relative ffff  0.1804761 0.027152512 0.017613053 0.23918454
1521324899.930000 /muse/elements/theta_relative ffff  0.28754145 0.19608393 0.20433189 0.23967752
1521324899.930000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521324899.930000 /muse/elements/is_good iiii  1 1 1 1
1521324899.930000 /muse/elements/blink i  0
1521324899.930000 /muse/elements/jaw_clench i  0
1521324899.930000 /muse/elements/touching_forehead i  1
1521324899.930000 /muse/elements/experimental/concentration f  0.010157924
1521324899.930000 /muse/elements/experimental/mellow f  0.0
1521324899.930000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  8.191395 8.969789 4.492011 3.6045716 2.119051 4.6313033 -0.3700733 -0.7167919 -1.3124603 -1.629077 -3.138634 -2.6142168 -7.572146 -4.7078886 -6.68319 -6.982791 -9.599857 -7.445096 -7.950306 -6.5945144 -9.395078 -15.344646 -11.5687475 -10.704075 -13.350821 -11.739359 -13.994644 -11.798852 -12.385231 -11.285641 -7.7929115 -6.368349 -8.984681 -12.505594 -7.8693547 -5.8753147 -10.285887 -14.923596 -13.070179 -14.318161 -8.903272 -13.314464 -8.866145 -5.4677835 -9.296089 -10.498165 -9.420105 -13.637755 -12.198687 -15.627938 -11.733538 -11.619889 -10.109546 -11.545096 -6.2186074 -10.513527 -14.325496 -18.960396 -10.117847 -9.215555 -15.883188 -16.174162 -20.974997 -18.71327 -18.540766 -17.362448 -17.946022 -22.208403 -26.330845 -18.099674 -13.328977 -23.285383 -25.820932 -17.148539 -13.875534 -21.378063 -18.328909 -24.238716 -16.895948 -16.848427 -14.448719 -13.582781 -13.994874 -17.915289 -22.358624 -13.881284 -14.732366 -17.792995 -16.478619 -24.175632 -26.353865 -21.894102 -22.922253 -21.666122 -23.95588 -16.94426 -11.86674 -15.633107 -15.824229 -16.96743 -21.08717 -15.837393 -12.193898 -13.523608 -16.925814 -18.164316 -20.486645 -17.28875 -13.811519 -10.800231 -15.064432 -21.384855 -21.582417 -20.903376 -18.984629 -11.980514 3.1393158 1.9792049 -14.515156 -17.900755 -18.896454 -24.691025 -27.139862 -23.223118 -25.633802 -22.4107 -22.695505 -25.623709 -29.986847
