1521333253.267000 /muse/acc fff  257.8129 945.31396 128.90645
1521333253.280000 /muse/eeg ffff  820.8452 876.77454 799.46045 804.3954
1521333253.280000 /muse/eeg/quantization iiii  1 1 1 1
1521333253.280000 /muse/eeg ffff  824.13513 880.06445 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  820.8452 878.4195 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  815.9103 880.06445 799.46045 807.68536
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 801.1054 814.26526
1521333253.280000 /muse/eeg ffff  824.13513 875.1295 802.7504 812.6203
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 804.3954 810.9753
1521333253.280000 /muse/eeg ffff  799.46045 878.4195 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  794.5255 878.4195 804.3954 809.3303
1521333253.280000 /muse/eeg ffff  786.3006 876.77454 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  797.8155 878.4195 804.3954 817.55524
1521333253.280000 /muse/eeg ffff  794.5255 880.06445 804.3954 814.26526
1521333253.281000 /muse/elements/alpha_relative ffff  0.33539987 0.15481347 0.07356947 0.20077762
1521333253.281000 /muse/elements/beta_relative ffff  0.11651733 0.048576456 0.056840967 0.22672576
1521333253.281000 /muse/elements/delta_relative ffff  0.35301116 0.70602554 0.7848823 0.3812916
1521333253.281000 /muse/elements/gamma_relative ffff  0.117744 0.016415695 0.014686457 0.09510437
1521333253.281000 /muse/elements/theta_relative ffff  0.07732763 0.07416887 0.07002082 0.096100636
1521333253.281000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333253.281000 /muse/elements/is_good iiii  1 1 1 1
1521333253.281000 /muse/elements/blink i  0
1521333253.281000 /muse/elements/jaw_clench i  0
1521333253.281000 /muse/elements/touching_forehead i  1
1521333253.281000 /muse/elements/experimental/concentration f  0.0
1521333253.281000 /muse/elements/experimental/mellow f  0.0
1521333253.428000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  4.933562 11.363126 0.005512209 -4.910501 -7.4240456 -8.63621 -7.7038956 -6.5017 -8.081382 -11.477889 -16.955032 -9.662544 -9.882855 -8.643181 -9.070856 -12.64052 -11.494267 -12.055624 -10.369035 -7.466171 -5.416346 -5.1987915 -11.5283165 -14.357024 -10.982405 -13.230442 -15.836512 -15.216108 -15.515953 -16.032055 -16.429695 -14.848617 -12.454621 -13.369949 -15.203413 -12.00668 -13.6291895 -12.071599 -14.336269 -15.823241 -14.060127 -15.877491 -13.559633 -13.116327 -12.234768 -15.850732 -9.780182 -9.459342 -14.520975 -14.893196 -14.944382 -15.168459 -17.430468 -19.455631 -15.720673 -14.349901 -16.76631 -11.748419 -15.490083 -24.838507 -16.14009 -16.44595 -19.602869 -21.345953 -20.242401 -16.709337 -18.298717 -25.968943 -29.2162 -24.467667 -21.195831 -25.189156 -24.733868 -24.45534 -24.230556 -22.27972 -20.923746 -21.303604 -18.26932 -15.396819 -15.770526 -15.404019 -19.287113 -15.884091 -14.311244 -16.908234 -16.914333 -17.468948 -17.64461 -14.607065 -17.247648 -19.596405 -17.892864 -20.397503 -27.286299 -26.854755 -20.648592 -17.73121 -17.432652 -18.025482 -21.499062 -17.879705 -15.981955 -16.804535 -17.169605 -19.72907 -16.776434 -17.173992 -16.96066 -19.079397 -22.257109 -25.113106 -21.725986 -19.731838 -21.823946 -21.357887 -20.997555 -19.147333 -18.916246 -23.384085 -25.683477 -25.312548 -24.685028 -23.7774 -26.347548 -25.12789 -26.606293 -24.90055 -31.016926
1521333253.428000 /muse/elements/low_freqs_absolute ffff  0.8613257 0.8809036 0.6990895 0.44521767
1521333253.428000 /muse/elements/alpha_absolute ffff  0.7636753 0.2010362 -0.33744258 0.1680097
1521333253.428000 /muse/elements/beta_absolute ffff  0.3419291 -0.29547516 -0.45715308 0.19375344
1521333253.429000 /muse/elements/delta_absolute ffff  0.7639985 0.8350249 0.658584 0.31525263
1521333253.429000 /muse/elements/gamma_absolute ffff  0.34264696 -0.77635527 -1.0231116 -0.1580934
1521333253.429000 /muse/elements/theta_absolute ffff  0.16402026 -0.11800674 -0.35127568 -0.1421033
1521333253.429000 /muse/elements/alpha_session_score ffff  0.3181818 0.5543478 0.058139537 0.21276596
1521333253.429000 /muse/elements/beta_session_score ffff  0.0 0.5 0.3043478 0.30769232
1521333253.429000 /muse/elements/delta_session_score ffff  0.11504425 0.43589744 0.32894737 0.0
